,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA66_ST136,85.87,100.0,100.0,100.0,8735,7429,7411,54.02,53.52,45.56
SA66_ST133,85.05,100.0,100.0,100.0,8730,7391,7342,52.72,52.24,46.84
SA66_ST139,86.7,100.0,100.0,100.0,8738,7556,7495,55.96,55.45,43.63
SA66_ST147,89.35,100.0,100.0,100.0,8760,7764,7742,61.26,60.69,38.38
SA66_ST124,80.29,100.0,100.0,100.0,8733,7014,6884,49.74,49.28,49.79
SA66_ST118,79.66,100.0,100.0,100.0,8724,6874,6820,56.59,56.07,43.01
SA66_ST121,79.36,100.0,100.0,100.0,8733,6850,6792,51.25,50.78,48.3
SA66_ST122,79.78,100.0,100.0,100.0,8732,6908,6832,51.62,51.15,47.93
SA66_ST130,82.94,100.0,100.0,100.0,8731,7179,7132,50.23,49.76,49.32
SA66_ST142,87.86,100.0,100.0,100.0,8760,7627,7609,56.38,55.86,43.22
SA66_ST117,79.93,100.0,100.0,100.0,8724,6944,6849,58.62,58.08,41.0
SA66_ST177,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST175,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST172,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST160,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST164,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST170,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST173,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST176,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST152,92.01,100.0,100.0,100.0,8760,8023,7996,69.94,69.3,29.78
SA66_ST169,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST158,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST151,91.67,100.0,100.0,100.0,8760,7976,7961,68.6,67.97,31.11
SA66_ST167,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST178,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST163,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST148,89.26,100.0,100.0,100.0,7875,7859,7829,60.76,60.2,38.88
SA66_ST159,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST157,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST155,99.99,100.0,100.0,100.0,8760,8760,8760,99.98,99.06,0.02
SA66_ST166,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST161,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST168,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST165,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST171,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST179,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST156,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST150,91.45,100.0,100.0,100.0,8760,7960,7952,67.84,67.21,31.86
SA66_ST153,96.65,100.0,100.0,100.0,8760,8760,8760,87.5,86.7,12.38
SA66_ST154,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.06,0.01
SA66_ST162,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST174,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST149,90.83,100.0,100.0,100.0,8760,7919,7883,66.13,65.52,33.55
SA67_ST4,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST2,88.66,100.0,100.0,100.0,8756,8756,7377,66.91,66.3,32.78
SA66_ST204,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST192,89.89,100.0,100.0,100.0,8760,7916,7791,63.78,63.2,35.88
SA66_ST196,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST202,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST205,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA67_ST3,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST184,84.35,100.0,100.0,100.0,8760,7310,7266,60.58,60.02,39.06
SA66_ST201,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST190,87.57,100.0,100.0,100.0,8760,7690,7572,58.44,57.9,41.17
SA66_ST183,84.29,100.0,100.0,100.0,8760,7322,7264,62.0,61.43,37.65
SA66_ST199,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA67_ST5,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA66_ST195,97.85,100.0,100.0,100.0,8760,8760,8760,91.78,90.93,8.15
SA66_ST180,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST191,88.61,100.0,100.0,100.0,8760,7752,7682,60.59,60.03,39.05
SA66_ST189,87.15,100.0,100.0,100.0,8760,7593,7535,58.98,58.43,40.64
SA66_ST187,85.34,100.0,100.0,100.0,8760,7481,7351,56.94,56.41,42.66
SA66_ST198,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA66_ST193,91.25,100.0,100.0,100.0,8760,7992,7927,67.78,67.15,31.92
SA66_ST200,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
